Timestamp,Email Address,Name,From date,To date,Roll No,Course,Department,Name of Hostel,Unit Number in Hostel,Room Number,Caterer Name,Plan Type
12-07-2023 08:30,testee002046@iiti.ac.in,LOVELY,01-08-2023,30-08-2023,test002046,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
13-07-2023 08:30,testee002055@iiti.ac.in,MOR VRUSHABH BHARATBHAI,01-08-2023,30-08-2023,test002055,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
14-07-2023 08:30,testce004037@iiti.ac.in,RISHI RATHORE,01-08-2023,30-08-2023,test004037,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
15-07-2023 08:30,testmems005051@iiti.ac.in,STUTI BAHUGUNA,01-08-2023,30-08-2023,test005051,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
16-07-2023 08:30,testee002043@iiti.ac.in,KSHITIZ AGRAWAL,01-08-2023,30-08-2023,test002043,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
17-07-2023 08:30,testee002044@iiti.ac.in,KUMAR ANMOL,01-08-2023,30-08-2023,test002044,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
18-07-2023 08:30,testee002045@iiti.ac.in,LOKARE DEVESH CHANDRAKANT,01-08-2023,30-08-2023,test002045,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
19-07-2023 08:30,testee002046@iiti.ac.in,LOVELY,01-08-2023,30-08-2023,test002046,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
20-07-2023 08:30,testee002047@iiti.ac.in,MALOTH KARTHIKEYA,01-08-2023,30-08-2023,test002047,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
21-07-2023 08:30,testee002049@iiti.ac.in,MANGENA DEVI AMRUTHA,01-08-2023,30-08-2023,test002049,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
22-07-2023 08:30,testee002050@iiti.ac.in,MANKAD NEHANSH DEVANG,01-08-2023,30-08-2023,test002050,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
23-07-2023 08:30,testee002051@iiti.ac.in,MANVENDRA SAINI,01-08-2023,30-08-2023,test002051,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
24-07-2023 08:30,testee002054@iiti.ac.in,MOKSHA KUMAR,01-08-2023,30-08-2023,test002054,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
25-07-2023 08:30,testee002059@iiti.ac.in,NIMISH NATANI,01-08-2023,30-08-2023,test002059,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
26-07-2023 08:30,testee002063@iiti.ac.in,PRASAD AKANKSHA,01-08-2023,30-08-2023,test002063,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
27-07-2023 08:30,testee002065@iiti.ac.in,PULKIT NAVNIT GUPTA,01-08-2023,30-08-2023,test002065,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
28-07-2023 08:30,testee002067@iiti.ac.in,RAINA RAJESH TATHED,01-08-2023,30-08-2023,test002067,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
29-07-2023 08:30,testee002070@iiti.ac.in,ROHAN MAJI,01-08-2023,30-08-2023,test002070,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
30-07-2023 08:30,testee002078@iiti.ac.in,TEJAS ANIL CHAUDHARI,01-08-2023,30-08-2023,test002078,B.Tech.,EE,CVR,313,C,Kanaka Caterer,HT
31-07-2023 08:30,testcse001004@iiti.ac.in,ADITYA KSHITIZ,01-08-2023,30-08-2023,test001004,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
01-08-2023 08:30,testcse001005@iiti.ac.in,ADITYA SACHIN MASTUD,01-08-2023,30-08-2023,test001005,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
02-08-2023 08:30,testcse001006@iiti.ac.in,ADITYA YADAV,01-08-2023,30-08-2023,test001006,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
03-08-2023 08:30,testcse001009@iiti.ac.in,ANIRUDH GAUTAM,01-08-2023,30-08-2023,test001009,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
04-08-2023 08:30,testcse001011@iiti.ac.in,ARAVAPALLI PAVAN KUMAR,01-08-2023,30-08-2023,test001011,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
05-08-2023 08:30,testcse001015@iiti.ac.in,AYITHA TRIBUVAN,01-08-2023,30-08-2023,test001015,B.Tech.,EE,CVR,313,C,Kanaka Caterer,NHT
